MATRICULA,DATA_LIG,PERFIL,NUMERO_HD,DATA_INST,LEITURA
14792729,06/01/24,NORMAL,A18N172210,08/01/24,536
14792745,06/01/24,NORMAL,A18N172190,08/01/24,155
14792761,06/01/24,NORMAL,A18N172181,08/01/24,324
14792788,06/01/24,NORMAL,A12B036974,08/01/24,230
14792800,06/01/24,NORMAL,A12S097908,08/01/24,958
14792826,06/01/24,NORMAL,A20H611125,08/01/24,37
14792842,06/01/24,NORMAL,A20H611091,08/01/24,80
14792869,06/01/24,NORMAL,A12B036543,08/01/24,296
14792885,06/01/24,NORMAL,A20H611041,08/01/24,309
14792907,06/01/24,NORMAL,A20H611036,08/01/24,390
14792923,06/01/24,NORMAL,A20H611037,08/01/24,1117
14792940,06/01/24,NORMAL,A20H611034,08/01/24,233
14792966,06/01/24,NORMAL,A20H611035,08/01/24,250
14792982,06/01/24,NORMAL,A20H611038,08/01/24,252
14793008,06/01/24,NORMAL,A20H611074,08/01/24,23
14793024,06/01/24,NORMAL,A20H611031,08/01/24,371
14793040,06/01/24,NORMAL,A20H611042,08/01/24,603
14793067,06/01/24,NORMAL,A20H611032,08/01/24,378
14793083,06/01/24,NORMAL,A20H611033,08/01/24,566
14793105,06/01/24,NORMAL,A20H611050,08/01/24,445
14793121,06/01/24,NORMAL,A20H611040,08/01/24,236
14793148,06/01/24,NORMAL,A20H611046,08/01/24,541
14793164,06/01/24,NORMAL,A20H611039,08/01/24,376
14793180,06/01/24,NORMAL,A20H611048,08/01/24,786
14793202,06/01/24,NORMAL,A20H611072,08/01/24,409
14793229,06/01/24,NORMAL,A20H611073,08/01/24,3
14793245,06/01/24,NORMAL,A20H611079,08/01/24,891
14793261,06/01/24,NORMAL,A20H611071,08/01/24,352
14793288,06/01/24,NORMAL,A20H611078,08/01/24,309
14793300,06/01/24,NORMAL,A20H611077,08/01/24,87
14793326,06/01/24,NORMAL,A20H611069,08/01/24,265
14793342,06/01/24,NORMAL,A20H611076,08/01/24,417
14793369,06/01/24,NORMAL,A20H611062,08/01/24,2
14793385,06/01/24,NORMAL,A20H611054,08/01/24,559
14793407,06/01/24,NORMAL,A20H611056,08/01/24,625
14793423,06/01/24,NORMAL,A20H611055,08/01/24,245
14793440,06/01/24,NORMAL,A20H611115,08/01/24,1165
14793466,06/01/24,NORMAL,A20H611060,08/01/24,325
14793482,06/01/24,NORMAL,A20H611070,08/01/24,631
14793504,06/01/24,NORMAL,A20H611061,08/01/24,554
14793520,06/01/24,NORMAL,A20H611057,08/01/24,388
14793547,06/01/24,NORMAL,A20H611080,08/01/24,514
14793563,06/01/24,NORMAL,A20H611053,08/01/24,567
14793580,06/01/24,NORMAL,A20H611065,08/01/24,204
14793601,06/01/24,NORMAL,A20H611052,08/01/24,155
14793628,06/01/24,NORMAL,A20H611067,08/01/24,285
14793644,06/01/24,NORMAL,A20H611058,08/01/24,215
14793660,06/01/24,NORMAL,A20H611066,08/01/24,474
14793687,06/01/24,NORMAL,A20H611059,08/01/24,190
14793709,06/01/24,NORMAL,A20H611068,08/01/24,239
14793725,06/01/24,NORMAL,A20H611064,08/01/24,821
14793741,06/01/24,NORMAL,A20H611013,08/01/24,127
14793768,06/01/24,NORMAL,A20H611051,08/01/24,1
14793784,06/01/24,NORMAL,A20H611075,08/01/24,97
14793806,06/01/24,NORMAL,A20H611063,08/01/24,544
14793822,06/01/24,NORMAL,A20H611096,08/01/24,494
14793849,06/01/24,NORMAL,A20H611002,08/01/24,736
14793865,06/01/24,NORMAL,A20H611009,08/01/24,222
14793881,06/01/24,NORMAL,A20H611016,08/01/24,297
14793903,06/01/24,NORMAL,A20H611006,08/01/24,2
14793920,06/01/24,NORMAL,A20H611003,08/01/24,166
14793946,06/01/24,NORMAL,A20H611001,08/01/24,426
14793962,06/01/24,NORMAL,A20H611010,08/01/24,392
14793989,06/01/24,NORMAL,A20H611007,08/01/24,217
14794004,06/01/24,NORMAL,A20H611008,08/01/24,274
14794020,06/01/24,NORMAL,A20H611012,08/01/24,248
14794047,06/01/24,NORMAL,A20H611011,08/01/24,251
14794063,06/01/24,NORMAL,A20H611017,08/01/24,272
14794080,06/01/24,NORMAL,A20H611005,08/01/24,104
14794101,06/01/24,NORMAL,A20H611172,08/01/24,170
14794128,06/01/24,NORMAL,A20H611004,08/01/24,544
14794144,06/01/24,NORMAL,A20H611164,08/01/24,119
14794160,06/01/24,NORMAL,A20H611098,08/01/24,167
14794187,06/01/24,NORMAL,A20H611178,08/01/24,590
14794209,06/01/24,NORMAL,A20H611165,08/01/24,452
14794225,06/01/24,NORMAL,A20H611171,08/01/24,288
14794241,06/01/24,NORMAL,A20H611177,08/01/24,234
14794268,06/01/24,NORMAL,A20H611170,08/01/24,255
14794284,06/01/24,NORMAL,A20H611176,08/01/24,164
14794306,06/01/24,NORMAL,A20H611169,08/01/24,455
14794322,06/01/24,NORMAL,A20H611100,08/01/24,212
14794349,06/01/24,NORMAL,A20H611088,08/01/24,393
14794365,06/01/24,NORMAL,A20H611174,08/01/24,328
14794381,06/01/24,NORMAL,A20H611180,08/01/24,124
14794403,06/01/24,NORMAL,A20H611044,08/01/24,140
14794420,06/01/24,NORMAL,A20H611087,08/01/24,437
14794446,06/01/24,NORMAL,A20H611113,08/01/24,368
14794462,06/01/24,NORMAL,A20H611081,08/01/24,580
14794489,06/01/24,NORMAL,A20H611090,08/01/24,586
14794500,06/01/24,NORMAL,A20H611083,08/01/24,342
14794527,06/01/24,NORMAL,A20H611092,08/01/24,25
14794543,06/01/24,NORMAL,A20H6911095,08/01/24,650
14794560,06/01/24,NORMAL,A20H611179,08/01/24,335
14794586,06/01/24,NORMAL,A20H611099,08/01/24,450
14794608,06/01/24,NORMAL,A20H611093,08/01/24,349
14794624,06/01/24,NORMAL,A20H611089,08/01/24,591
14794640,06/01/24,NORMAL,A20H611047,08/01/24,243
14794667,06/01/24,NORMAL,A20H611082,08/01/24,98
14794683,06/01/24,NORMAL,A20H611086,08/01/24,268
14794705,06/01/24,NORMAL,A20H611043,08/01/24,406
14794721,06/01/24,NORMAL,A20H611084,08/01/24,175
14794748,06/01/24,NORMAL,A20H611120,08/01/24,188
14794764,06/01/24,NORMAL,A20H611085,08/01/24,503
14794780,06/01/24,NORMAL,A20H611049,08/01/24,41
14794802,06/01/24,NORMAL,A20H611159,08/01/24,144
14794829,06/01/24,NORMAL,A20H611154,08/01/24,312
14794845,06/01/24,NORMAL,A20H611162,08/01/24,596
14794861,06/01/24,NORMAL,A20H611152,08/01/24,247
14794888,06/01/24,NORMAL,A20H611160,08/01/24,317
14794900,06/01/24,NORMAL,A20H611161,08/01/24,68
14794926,06/01/24,NORMAL,A20H611163,08/01/24,159
14794942,06/01/24,NORMAL,A20H611155,08/01/24,283
14794969,06/01/24,NORMAL,A20H611157,08/01/24,533
14794985,06/01/24,NORMAL,A20H611153,08/01/24,5
14795000,06/01/24,NORMAL,A20H611156,08/01/24,457
14795027,06/01/24,NORMAL,A20H611166,08/01/24,226
14795043,06/01/24,NORMAL,A20H611158,08/01/24,91
14795060,06/01/24,NORMAL,A20H611151,08/01/24,102
14795086,06/01/24,NORMAL,A20H611167,08/01/24,356
14795108,06/01/24,NORMAL,A20H611094,08/01/24,392
14795124,06/01/24,NORMAL,A20H611210,08/01/24,238
14795140,06/01/24,NORMAL,A20H61114,08/01/24,18
14795167,06/01/24,NORMAL,A20H611205,08/01/24,211
14795183,06/01/24,NORMAL,A20H611209,08/01/24,338
14795205,06/01/24,NORMAL,A20H611182,08/01/24,362
14795221,06/01/24,NORMAL,A20H611185,08/01/24,207
14795248,06/01/24,NORMAL,A20H611189,08/01/24,2
14795264,06/01/24,NORMAL,A20H611184,08/01/24,315
14795280,06/01/24,NORMAL,A20H611203,08/01/24,228
14795302,06/01/24,NORMAL,A20H611186,08/01/24,141
14795329,06/01/24,NORMAL,A20H611183,08/01/24,400
14795345,06/01/24,NORMAL,A20H611181,08/01/24,300
14795361,06/01/24,NORMAL,A20H611204,08/01/24,129
14795388,06/01/24,NORMAL,A20H611187,08/01/24,449
14795400,06/01/24,NORMAL,A20H611190,08/01/24,255
14795426,06/01/24,NORMAL,A20H611188,08/01/24,378
14795442,06/01/24,NORMAL,A20H611195,08/01/24,530
14795469,06/01/24,NORMAL,A20H611194,08/01/24,326
14795485,06/01/24,NORMAL,A20H611119,08/01/24,71
14795507,06/01/24,NORMAL,A20H611201,08/01/24,399
14795523,06/01/24,NORMAL,A20H611198,08/01/24,225
14795540,06/01/24,NORMAL,A20H611191,08/01/24,252
14795566,06/01/24,NORMAL,A20H611193,08/01/24,204
14795582,06/01/24,NORMAL,A20H611199,08/01/24,75
14795604,06/01/24,NORMAL,A20H611202,08/01/24,148
14795620,06/01/24,NORMAL,A20H611207,08/01/24,213
14795647,06/01/24,NORMAL,A20H611200,08/01/24,388
14795663,06/01/24,NORMAL,A20H611196,08/01/24,91
14795680,06/01/24,NORMAL,A20H611197,08/01/24,20
14795701,06/01/24,NORMAL,A20H611208,08/01/24,526
14795728,06/01/24,NORMAL,A20H611192,08/01/24,290
14795744,06/01/24,NORMAL,A20H611206,08/01/24,121
14795760,06/01/24,NORMAL,A20H611124,08/01/24,428
14795787,06/01/24,NORMAL,A20H611135,08/01/24,392
14795809,06/01/24,NORMAL,A20H611128,08/01/24,395
14795825,06/01/24,NORMAL,A20H611122,08/01/24,301
14795841,06/01/24,NORMAL,A20H611127,08/01/24,381
14795868,06/01/24,NORMAL,A20H611123,08/01/24,150
14795884,06/01/24,NORMAL,A20H611130,08/01/24,249
14795906,06/01/24,NORMAL,A20H611121,08/01/24,450
14795922,06/01/24,NORMAL,A20H611211,08/01/24,332
14795949,06/01/24,NORMAL,A20H611212,08/01/24,198
14795965,06/01/24,NORMAL,A20H611222,08/01/24,300
14795981,06/01/24,NORMAL,A20H611224,08/01/24,401
14796007,06/01/24,NORMAL,A20H611219,08/01/24,321
14796023,06/01/24,NORMAL,A20H611214,08/01/24,7
14796040,06/01/24,NORMAL,A20H611173,08/01/24,389
14796066,06/01/24,NORMAL,A20H611220,08/01/24,254
14796082,06/01/24,NORMAL,A20H611218,08/01/24,511
14796104,06/01/24,NORMAL,A20H611215,08/01/24,565
14796120,06/01/24,NORMAL,A20H611225,08/01/24,417
14796147,06/01/24,NORMAL,A20H611223,08/01/24,707
14796163,06/01/24,NORMAL,A20H611221,08/01/24,155
14796180,06/01/24,NORMAL,A20H611213,08/01/24,505
14796201,06/01/24,NORMAL,A20H611216,08/01/24,605
14796228,06/01/24,NORMAL,A20H611217,08/01/24,454
14796244,06/01/24,NORMAL,A20H611126,08/01/24,352
14796260,06/01/24,NORMAL,A20H611237,08/01/24,64
14796287,06/01/24,NORMAL,A20H611235,08/01/24,361
14796309,06/01/24,NORMAL,A20H611025,08/01/24,279
14796325,06/01/24,NORMAL,A20H611023,08/01/24,172
14796341,06/01/24,NORMAL,A20H611029,08/01/24,295
14796368,06/01/24,NORMAL,A20H611030,08/01/24,177
14796384,06/01/24,NORMAL,A20H611024,08/01/24,803
14796406,06/01/24,NORMAL,A20H611233,08/01/24,737
14796422,06/01/24,NORMAL,A20H611227,08/01/24,3
14796449,06/01/24,NORMAL,A20H611231,08/01/24,265
14796465,06/01/24,NORMAL,A20H611228,08/01/24,0
14796481,06/01/24,NORMAL,A20H611021,08/01/24,342
14796503,06/01/24,NORMAL,A20H611230,08/01/24,504
14796520,06/01/24,NORMAL,A20H611226,08/01/24,19
14796546,06/01/24,NORMAL,A20H611015,08/01/24,364
14796562,06/01/24,NORMAL,A20H611240,08/01/24,468
14796589,06/01/24,NORMAL,A20H611234,08/01/24,1212
14796600,06/01/24,NORMAL,A20H611232,08/01/24,342
14796627,06/01/24,NORMAL,A20H611175,08/01/24,2
14796643,06/01/24,NORMAL,A20H611239,08/01/24,171
14796660,06/01/24,NORMAL,A20H611229,08/01/24,79
14796686,06/01/24,NORMAL,A20H611020,08/01/24,19
14796708,06/01/24,NORMAL,A20H611236,08/01/24,493
14796724,06/01/24,NORMAL,A20H611018,08/01/24,171
14796740,06/01/24,NORMAL,A20H611132,08/01/24,192
14796767,06/01/24,NORMAL,A20H611014,08/01/24,492
14796783,06/01/24,NORMAL,A20H611026,08/01/24,359
14796805,06/01/24,NORMAL,A20H611022,08/01/24,261
14796821,06/01/24,NORMAL,A20H611028,08/01/24,480
14796848,06/01/24,NORMAL,A20H611027,08/01/24,423
14796864,06/01/24,NORMAL,A20H611019,08/01/24,292
14796880,06/01/24,NORMAL,A20H611146,08/01/24,48
14796902,06/01/24,NORMAL,A20H611148,08/01/24,146
14796929,06/01/24,NORMAL,A20H611139,08/01/24,483
14796945,06/01/24,NORMAL,A20H611149,08/01/24,904
14796961,06/01/24,NORMAL,A20H611141,08/01/24,286
14796988,06/01/24,NORMAL,A20H611150,08/01/24,298
14797003,06/01/24,NORMAL,A20H611138,08/01/24,0
14797020,06/01/24,NORMAL,A20H611145,08/01/24,2
14797046,06/01/24,NORMAL,A20H611140,08/01/24,976
14797062,06/01/24,NORMAL,A20H611142,08/01/24,138
14797089,06/01/24,NORMAL,A20H611147,08/01/24,386
14797100,06/01/24,NORMAL,A20H611131,08/01/24,143
14797127,06/01/24,NORMAL,A20H611137,08/01/24,34
14797143,06/01/24,NORMAL,A20H611143,08/01/24,422
14797160,06/01/24,NORMAL,A20H611136,08/01/24,373
14797186,06/01/24,NORMAL,A20H611144,08/01/24,482
14797208,06/01/24,NORMAL,A20H611118,08/01/24,153
14797224,06/01/24,NORMAL,A20H611116,08/01/24,508
14797240,06/01/24,NORMAL,A20H611112,08/01/24,320
14797267,06/01/24,NORMAL,A20H611105,08/01/24,141
14797283,06/01/24,NORMAL,A20H611111,08/01/24,233
14797305,06/01/24,NORMAL,A20H611106,08/01/24,406
14797321,06/01/24,NORMAL,A20H611109,08/01/24,2
14797348,06/01/24,NORMAL,A20H611117,08/01/24,9989
14797364,06/01/24,NORMAL,A20H611101,08/01/24,330
14797380,06/01/24,NORMAL,A20H611108,08/01/24,405
14797402,06/01/24,NORMAL,A20H611134,08/01/24,124
14797429,06/01/24,NORMAL,A20H611103,08/01/24,324
14797445,06/01/24,NORMAL,A20H611104,08/01/24,396
14797461,06/01/24,NORMAL,A20H611107,08/01/24,447
14797488,06/01/24,NORMAL,A20H611102,08/01/24,506
14797500,06/01/24,NORMAL,A20H611110,08/01/24,213
